debug8TWO1D:debugLHJ5LZ,initialized,0,,1534868011938
debug8TWO1D:debugLHJ5LZ,window_resize,1,"[1855, 1028]",1534868011939
A1KV2VPZ1TE6AJ:3UXUOQ9OKF7INX3SC1WZMMN60N37AP,initialized,0,,1534868617716
A1KV2VPZ1TE6AJ:3UXUOQ9OKF7INX3SC1WZMMN60N37AP,window_resize,0,"[1855, 1028]",1534868617716
A21389CE81CPZ0:386CSBG1O0WR6DW4INOEYJ7DBUAQ68,initialized,0,,1534870464501
A21389CE81CPZ0:386CSBG1O0WR6DW4INOEYJ7DBUAQ68,window_resize,0,"[1280, 977]",1534870464501
A21389CE81CPZ0:386CSBG1O0WR6DW4INOEYJ7DBUAQ68,window_resize,42151,"[1280, 933]",1534870506652
A30Q8D20T8A5ZR:3ZY8KE4ISKDCL3B5JVWMABNCSN1VQ4,initialized,0,,1534870515397
A30Q8D20T8A5ZR:3ZY8KE4ISKDCL3B5JVWMABNCSN1VQ4,window_resize,0,"[1920, 1040]",1534870515397
A6YZ7PC1KBUI3:3Q8GYXHFEQCRT8M78MDEM84WBKZC5A,initialized,0,,1534870607527
A6YZ7PC1KBUI3:3Q8GYXHFEQCRT8M78MDEM84WBKZC5A,window_resize,0,"[2560, 1315]",1534870607527
A3IJNRA4E9ZSYA:3B1NLC6UG0683UKVUNIBA5US0CSGPA,initialized,0,,1534870722253
A3IJNRA4E9ZSYA:3B1NLC6UG0683UKVUNIBA5US0CSGPA,window_resize,0,"[1280, 977]",1534870722253
A3IJNRA4E9ZSYA:3B1NLC6UG0683UKVUNIBA5US0CSGPA,focus,34958,off,1534870757211
A3IJNRA4E9ZSYA:3B1NLC6UG0683UKVUNIBA5US0CSGPA,focus,1809,on,1534870759020
A3IJNRA4E9ZSYA:3B1NLC6UG0683UKVUNIBA5US0CSGPA,window_resize,2384,"[1280, 933]",1534870761404
A2C2QEHTYDJJ3Y:3PDJHANYK6QETKX1ZX1KP5FCK7FH64,initialized,0,,1534870787256
A2C2QEHTYDJJ3Y:3PDJHANYK6QETKX1ZX1KP5FCK7FH64,window_resize,0,"[1670, 948]",1534870787256
A3N7POEMLYTTZD:3TPZPLC3M1M79I87Z8BRRB5JW7OP3C,initialized,0,,1534870920319
A3N7POEMLYTTZD:3TPZPLC3M1M79I87Z8BRRB5JW7OP3C,window_resize,1,"[1523, 764]",1534870920320
A3N7POEMLYTTZD:3TPZPLC3M1M79I87Z8BRRB5JW7OP3C,focus,19217,on,1534870939537
